Doc,Topic,Doc_ID
"ALLEATI CON PUTIN contro il terrorismo islamico, punto! pic.twitter.com/FEbPzfgxyG",64,30824
#Salvini: Per l'Islam da noi NON c'è SPAZIO! Vedere un IMAM in chiesa mi fa PENA! BenedettoXVI ci aveva visto lungo! #Pontida16,64,30833
"Domani si ricorderà la prima grande strage islamica, #11settembre. A quanto ci è servita quella lezione? pic.twitter.com/TxL36O9IxE",64,30962
"""Luride puttane"" e poi giù botte! Stop all'invasione islamica, prima che sia tardi. pic.twitter.com/np7L5Q4GZ0",64,30969
"Burkini, burka o velo islamico? Simboli di oppressione, di arroganza, di conquista, di sottomissione. Usateli a casa vostra, non da noi.",64,31065
"Islam fuorilegge e immigrazione da fermare. Vi aspetto questa sera a Ponte di Legno, ore 20.30! http://www.lastampa.it/2016/08/15/italia/cronache/lislam-sia-fuorilegge-le-primarie-la-gente-stufa-del-politichese-wuZMJSVxccJu88e8PloOTJ/pagina.html …",64,31088
"Copasir: ""Cresce rischio di militanti ISIS sui BARCONI"". Strano.. Io non mi arrendo all'INVASIONE, alla faccia dei complici islamici..",64,31092
"Inneggia all'ISIS, fermato un tunisino a PISA. #nomoschea pic.twitter.com/Tubc0w7BEC",64,31098
Chi alimenta l'immigrazione clandestina è COMPLICE degli attentati dell'Isis. Punto! https://www.facebook.com/salviniofficial/videos/10153894447488155/ …,64,31121
"""L'Isis sfrutta i migranti in Italia"". Ma vah??? Dopo anni di denunce della Lega... pic.twitter.com/8ia2lzX6JW",64,31126
Qualcuno è felice perché qualche islamico oggi va a Messa. Poveri illusi. pic.twitter.com/r7j3oA1pqn,64,31139
"Espulso IMAM estremista, che predicava fra Reggio Emilia e Vicenza, aveva chiamato una dei 4 figli ""Jihad"".  ( http://www.ilpopulista.it/news/27-Luglio-2016/3298/noventa--espulso-l-imam-stregone--suggestionava-i-discepoli--chiamava--jihad--la-figlia.html …)",64,31151
Chi gli spiega che l'immigrazione clandestina finanzia l'ISIS? pic.twitter.com/4fnymHphCh,64,31157
"Depressi pure questi? Islamici moderati pure questi? Che dicono Renzi, Merkel e Boldrini? #stopislam http://www.ilpopulista.it/news/26-Luglio-2016/3241/due-uomini-armati-di-coltelli-sgozzano-prete-in-una-chiesa-della-normandia.html …",64,31160
Mentre i terroristi islamici fanno altra strage in Afghanistan (80 morti) in Italia sbarcano altri 622 clandestini pic.twitter.com/aP5w2RrfPX,64,31172
Eppure qualcuno ancora pensa che con l'Islam non ci siano problemi... http://tv.ilpopulista.it/video/19-Luglio-2016/2990/esclusivo----vi-faro-a-pezzi-con-questa-lama-e-vi-sgozzero-con-un-ascia---sottotitoli-in-italiano-.html …,64,31186
